id,email,balance,password,address,firstname,lastname,active_coupon
1,smithbetty@yahoo.com,478.6,password123,"Unit 0542 Box 1807, DPO AE 20118",Diana,Garcia,
2,georgemelissa@gmail.com,317.68,password123,"USS Lewis, FPO AE 71196",Ann,Mcdowell,
3,lutzkathleen@gregory.com,404.03,password123,"0086 Bianca Trail Suite 886, East Marissafort, MI 89536",Eric,Poole,
4,nelsonjeffrey@johnson.info,904.73,password123,"89469 Cunningham Unions Suite 248, North Ashley, DC 01313",Brandon,Blackwell,
5,smithsophia@mccann-navarro.org,364.47,password123,"396 Green Manor, Port Jamesborough, AL 33757",Cindy,Gilbert,
6,russellnatasha@gmail.com,968.93,password123,"591 Michael Pass Suite 668, Sheltonburgh, VT 17249",Alexandra,Walker,
7,qgomez@thomas-lawrence.org,645.96,password123,"0437 Joyce Island Suite 312, Jacquelineborough, AR 53145",Mariah,Conner,
8,andersonanthony@thompson.org,427.16,password123,"11565 Cheryl Inlet Apt. 531, South Amyburgh, HI 90753",Alyssa,Cole,
9,bperez@yahoo.com,162.09,password123,"63510 Anthony Rue, Williamview, OR 84829",David,Long,
10,melissamontgomery@davis.biz,713.12,password123,"3070 Robinson Roads Suite 975, Jonesland, AZ 85477",Teresa,Johnson,
